title,author,user_rating,livelib_rating,url,cover,publisher,year,favorite
"Лабиринты","Франк Тилье","5","4,5","https://www.livelib.ru/book/1017945580","/covers/1017945580.jpg","MAGIC BOOKS","2026","false"
"Одиссея. Древнегреческий эпос в пересказе Сергея Носова","Сергей Носов","3","4,1","https://www.livelib.ru/book/1010702618","/covers/1010702618.jpg","Литературная матрица","2024","false"
"Портрет","Николай Гоголь","5","4,4","https://www.livelib.ru/book/1001217494","/covers/1001217494.jpg","Русское слово - РС","2008","false"
"Нос","Николай Гоголь","1","3,8","https://www.livelib.ru/book/1006168693","/covers/1006168693.jpg","АСТ","2021","false"
"Записки сумасшедшего","Николай Гоголь","3,5","4","https://www.livelib.ru/book/1005753169","/covers/1005753169.jpg","Грани-Т","2011","false"
"Невский проспект","Николай Гоголь","1,5","4,1","https://www.livelib.ru/book/1000962694","/covers/1000962694.jpg","Речь","2014","false"
"Великие русские художники","Владимир Баженов","4,5","3,9","https://www.livelib.ru/book/1012819894","/covers/1012819894.jpg","АСТ:ОГИЗ","2024","false"
"Расширение пространства борьбы","Мишель Уэльбек","2","3,7","https://www.livelib.ru/book/1000328969","/covers/1000328969.jpg","Иностранка, Б.С.Г.-Пресс","2003","false"
"Жил-был раз, жил-был два","Франк Тилье","5","4,2","https://www.livelib.ru/book/1006155346","/covers/1006155346.jpg","Азбука, Азбука-Аттикус","2021","true"
"Шелкопряд","Роберт Гэлбрейт","5","4,2","https://www.livelib.ru/book/1002966640","/covers/1002966640.jpg","Азбука-Аттикус, Иностранка","2019","false"
"Луна - суровая госпожа","Роберт Хайнлайн","3,5","4,2","https://www.livelib.ru/book/1002831956","/covers/1002831956.jpg","Азбука, Азбука-Аттикус","2018","false"
"Герой нашего времени","Михаил Лермонтов","3,5","4,3","https://www.livelib.ru/book/1015711852","/covers/1015711852.jpg","Манн, Иванов и Фербер","2025","false"
"Конец детства","Артур Кларк","4,5","4,1","https://www.livelib.ru/book/1003224848","/covers/1003224848.jpg","АСТ","2019","false"
"Солярис","Станислав Лем","2,5","4,3","https://www.livelib.ru/book/1015962283","/covers/1015962283.jpg","АСТ","2021","false"
"Академия","Айзек Азимов","3","4,3","https://www.livelib.ru/book/1000328243","/covers/1000328243.jpg","Эксмо","2006","false"
"Дикий зверь","Жоэль Диккер","3,5","4,1","https://www.livelib.ru/book/1012337903","/covers/1012337903.jpg","Corpus","2024","false"
"Человек разрушенный","Альфред Бестер","1,5","3,9","https://www.livelib.ru/book/1002898047","/covers/1002898047.jpg","Эксмо","2018","false"
"Проект ""Аве Мария""","Энди Вейер","5","4,5","https://www.livelib.ru/book/1008937315","/covers/1008937315.jpg","АСТ, Neoclassic","2023","true"
"Фантомная память","Франк Тилье","2","4,1","https://www.livelib.ru/book/1003022711","/covers/1003022711.jpg","Азбука, Азбука-Аттикус","2019","false"
"Последняя рукопись","Франк Тилье","5","4,2","https://www.livelib.ru/book/1008963793","/covers/1008963793.jpg","Азбука Издательство","2020","false"
"Великий дух и беглецы","Кир Булычёв","3,5","4","https://www.livelib.ru/book/1000664661","/covers/1000664661.jpg","","","false"
"Тринадцать лет пути","Кир Булычёв","5","4,2","https://www.livelib.ru/book/1013321581","/covers/1013321581.jpg","Эксмо","2005","false"
"Дело Аляски Сандерс","Жоэль Диккер","5","4,4","https://www.livelib.ru/book/1008862549","/covers/1008862549.jpg","Corpus","2023","false"
"Зов Кукушки","Роберт Гэлбрейт","3","4,1","https://www.livelib.ru/book/1002966638","/covers/1002966638.jpg","Азбука-Аттикус, Иностранка","2019","false"
"Дом с водяными колесами","Юкито Аяцудзи","3","3,7","https://www.livelib.ru/book/1013742145","/covers/1013742145.jpg","Эксмо","2025","false"
"Убийства в десятиугольном доме","Юкито Аяцудзи","4","4","https://www.livelib.ru/book/1003628465","/covers/1003628465.jpg","Эксмо","2020","false"
"Загадка номера 622","Жоэль Диккер","3","3,9","https://www.livelib.ru/book/1007684410","/covers/1007684410.jpg","Corpus","2022","false"
"Спроси маму. Как общаться с клиентами и подтвердить правоту своей бизнес-идеи, если все кругом врут?","Роб Фитцпатрик","4","4,1","https://www.livelib.ru/book/1007665543","/covers/1007665543.jpg","Альпина Паблишер","2022","false"
"Звездная бабочка","Бернар Вербер","3","4","https://www.livelib.ru/book/1002875940","/covers/1002875940.jpg","Эксмо","2018","false"
"Книга Балтиморов","Жоэль Диккер","5","4,3","https://www.livelib.ru/book/1002494672","/covers/1002494672.jpg","АСТ, Corpus","2018","true"
"Вдохновленные. Все, что нужно знать продакт-менеджеру","Марти Каган","5","4,1","https://www.livelib.ru/book/1003941310","/covers/1003941310.jpg","Манн, Иванов и Фербер","2020","false"
"Медовый траур","Франк Тилье","4","4,2","https://www.livelib.ru/book/1005504265","/covers/1005504265.jpg","Азбука, Азбука-Аттикус","2020","false"
"Шинель","Николай Гоголь","5","4,2","https://www.livelib.ru/book/1008297883","/covers/1008297883.jpg","Речь","2022","false"
"Вий","Николай Гоголь","3","4,3","https://www.livelib.ru/book/1001242520","/covers/1001242520.jpg","Белый город","2014","false"
"Поднятие уровня в одиночку. Solo Leveling. Книга 1","Чхугон","4","4,2","https://www.livelib.ru/book/1007679859","/covers/1007679859.jpg","АСТ, Mainstream","2023","false"
"Поднятие уровня в одиночку. Solo Leveling. Книга 3","Чхугон","4","4,6","https://www.livelib.ru/book/1009080238","/covers/1009080238.jpg","Mainstream","2024","false"
"Поднятие уровня в одиночку. Solo Leveling. Книга 2","Чхугон","4","4,5","https://www.livelib.ru/book/1008702787","/covers/1008702787.jpg","АСТ","2023","false"
"Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих","Адитья Бхаргава","3","4,5","https://www.livelib.ru/book/1002110803","/covers/1002110803.jpg","Питер","2017","false"
"Тарас Бульба","Николай Гоголь","5","3,9","https://www.livelib.ru/book/1000219309","/covers/1000219309.jpg","Детская литература. Москва","2001","false"
"Адский поезд для Красного Ангела","Франк Тилье","4","3,9","https://www.livelib.ru/book/1002819180","/covers/1002819180.jpg","Азбука, Азбука-Аттикус","2018","false"
"Комната мертвых","Франк Тилье","5","3,9","https://www.livelib.ru/book/1002615410","/covers/1002615410.jpg","Азбука, Азбука-Аттикус","2017","false"
"Мертвые души","Николай Гоголь","4","4","https://www.livelib.ru/book/1000406738","/covers/1000406738.jpg","Бослен","2009","false"
"Уверенность в себе. Как повысить самооценку, преодолеть страхи и сомнения","Томас Чаморро-Премузик","5","3,3","https://www.livelib.ru/book/1002827597","/covers/1002827597.jpg","Альпина Паблишер","2018","false"
"Серьезное творческое мышление","Эдвард де Боно","4","3,7","https://www.livelib.ru/book/1000110734","/covers/1000110734.jpg","Попурри","2005","false"
