tier,position,title,author,user_rating,livelib_rating,url,cover,year,read_date
S,1,Книга Балтиморов,Жоэль Диккер,5,"4,3",https://www.livelib.ru/book/1002494672,/covers/1002494672.jpg,2015,2025-01-10
S,2,Мартин Иден,Джек Лондон,5,"4,5",https://www.livelib.ru/book/1005746266,/covers/1005746266.jpg,1909,-
S,3,Сто лет одиночества,Габриэль Гарсиа Маркес,5,"4,1",https://www.livelib.ru/book/1003221869,/covers/1003221869.jpg,1967,-
S,4,Террор,Дэн Симмонс,5,"4,4",https://www.livelib.ru/book/1002771451,/covers/1002771451.jpg,2007,-
S,5,Правда о деле Гарри Квеберта,Жоэль Диккер,5,"4,4",https://www.livelib.ru/book/1002494679,/covers/1002494679.jpg,2012,-
S,6,"Жил-был раз, жил-был два",Франк Тилье,5,"4,2",https://www.livelib.ru/book/1006155346,/covers/1006155346.jpg,2020,2026-04-25
A,1,Конец детства,Артур Кларк,"4,5","4,1",https://www.livelib.ru/book/1003224848,/covers/1003224848.jpg,1953,2026-03-12
A,2,"Проект ""Аве Мария""",Энди Вейер,5,"4,5",https://www.livelib.ru/book/1008937315,/covers/1008937315.jpg,2021,2026-01-07
A,3,Дело Аляски Сандерс,Жоэль Диккер,5,"4,4",https://www.livelib.ru/book/1008862549,/covers/1008862549.jpg,2022,2025-11-27
A,4,Последняя рукопись,Франк Тилье,5,"4,2",https://www.livelib.ru/book/1008963793,/covers/1008963793.jpg,2018,2025-12-17
A,5,Лабиринты,Франк Тилье,5,"4,5",https://www.livelib.ru/book/1017945580,/covers/1017945580.jpg,2022,2026-08-08
A,6,Два брата,Бен Элтон,5,"4,5",https://www.livelib.ru/book/1002034722,/covers/1002034722.jpg,2012,-
A,7,В списках не значился,Борис Васильев,5,"4,7",https://www.livelib.ru/book/1002758104,/covers/1002758104.jpg,1974,-
A,8,КлаТбище домашних жЫвотных,Стивен Кинг,5,"4,4",https://www.livelib.ru/book/1003957162,/covers/1003957162.jpg,1983,-
B,1,Пробуждение Левиафана,Джеймс Кори,4,"4,3",https://www.livelib.ru/book/1002700593,/covers/1002700593.jpg,2011,2023-01-23
B,2,Шелкопряд,Роберт Гэлбрейт,5,"4,2",https://www.livelib.ru/book/1002966640,/covers/1002966640.jpg,2014,2026-04-20
B,3,Комната мертвых,Франк Тилье,5,"3,9",https://www.livelib.ru/book/1002615410,/covers/1002615410.jpg,2005,2024-03
B,4,Дикий зверь,Жоэль Диккер,"3,5","4,1",https://www.livelib.ru/book/1012337903,/covers/1012337903.jpg,2024,2026-01-13
B,5,Дюна,Фрэнк Герберт,5,"4,4",https://www.livelib.ru/book/1003752474,/covers/1003752474.jpg,1965,-
B,6,Финансист,Теодор Драйзер,5,"4,4",https://www.livelib.ru/book/1003933861,/covers/1003933861.jpg,1912,-
B,7,Десять негритят,Агата Кристи,5,"4,6",https://www.livelib.ru/book/1005556180,/covers/1005556180.jpg,1939,-
B,8,Марсианские хроники,Рэй Брэдбери,5,"4,4",https://www.livelib.ru/book/1000494843,/covers/1000494843.jpg,1950,-
C,1,Тринадцать лет пути,Кир Булычёв,5,"4,2",https://www.livelib.ru/book/1013321581,/covers/1013321581.jpg,1984,2025-11-30
C,2,Зов Кукушки,Роберт Гэлбрейт,3,"4,1",https://www.livelib.ru/book/1002966638,/covers/1002966638.jpg,2013,2025-11-17
C,3,На Западном фронте без перемен,Эрих Мария Ремарк,4,"4,6",https://www.livelib.ru/book/1006083226,/covers/1006083226.jpg,1929,-
C,4,Три товарища,Эрих Мария Ремарк,4,"4,5",https://www.livelib.ru/book/1003221872,/covers/1003221872.jpg,1936,-
C,5,Убийства в десятиугольном доме,Юкито Аяцудзи,4,4,https://www.livelib.ru/book/1003628465,/covers/1003628465.jpg,1987,2025-10-30
C,6,Герой нашего времени,Михаил Лермонтов,"3,5","4,3",https://www.livelib.ru/book/1015711852,/covers/1015711852.jpg,1840,2026-03-12
C,7,451° по Фаренгейту,Рэй Брэдбери,5,"4,3",https://www.livelib.ru/book/1005499288,/covers/1005499288.jpg,1953,-
C,8,Адский поезд для Красного Ангела,Франк Тилье,4,"3,9",https://www.livelib.ru/book/1002819180,/covers/1002819180.jpg,2004,2024-03
C,9,Меч Предназначения,Анджей Сапковский,5,"4,6",https://www.livelib.ru/book/1000486798,/covers/1000486798.jpg,1992,-
C,10,Кровь эльфов,Анджей Сапковский,5,"4,5",https://www.livelib.ru/book/1000018715,/covers/1000018715.jpg,1994,-
C,11,Час Презрения,Анджей Сапковский,4,"4,5",https://www.livelib.ru/book/1000018809,/covers/1000018809.jpg,1995,-
C,12,Крещение огнем,Анджей Сапковский,4,"4,5",https://www.livelib.ru/book/1000902118,/covers/1000902118.jpg,1996,-
C,13,Башня Ласточки,Анджей Сапковский,4,"4,5",https://www.livelib.ru/book/1000207218,/covers/1000207218.jpg,1997,-
C,14,Владычица Озера. Дорога без возврата,Анджей Сапковский,4,"4,4",https://www.livelib.ru/book/1000447907,/covers/1000447907.jpg,1999,-
C,15,Танатонавты,Бернар Вербер,4,"4,1",https://www.livelib.ru/book/1005437395,/covers/1005437395.jpg,1994,-
C,16,Морской волк,Джек Лондон,5,"4,4",https://www.livelib.ru/book/1005420379,/covers/1005420379.jpg,1904,-
C,17,Нетопырь,Ю Несбё,5,"3,7",https://www.livelib.ru/book/1000583376,/covers/1000583376.jpg,1997,-
C,18,Тараканы,Ю Несбё,5,"3,9",https://www.livelib.ru/book/1000608539,/covers/1000608539.jpg,1998,-
C,19,Красношейка,Ю Несбё,5,"4,3",https://www.livelib.ru/book/1000608552,/covers/1000608552.jpg,2000,-
C,20,Немезида,Ю Несбё,5,"4,3",https://www.livelib.ru/book/1002275255,/covers/1002275255.jpg,2002,-
C,21,Пентаграмма,Ю Несбё,5,"4,3",https://www.livelib.ru/book/1000663056,/covers/1000663056.jpg,2003,-
C,22,Любовь во время чумы,Габриэль Гарсиа Маркес,4,"4,2",https://www.livelib.ru/book/1005654256-lyubov-vo-vremya-chumy-gabriel-garsia-markes,/covers/1005654256.jpg,1985,-
C,23,Человек-невидимка,Герберт Уэллс,4,"4,1",https://www.livelib.ru/book/1003404421,/covers/1003404421.jpg,1897,2021-11-16
C,24,Медовый траур,Франк Тилье,4,"4,2",https://www.livelib.ru/book/1005504265,/covers/1005504265.jpg,2006,2024-08
C,25,Записки юного врача,Михаил Булгаков,4,"4,7",https://www.livelib.ru/book/1005579736,/covers/1005579736.jpg,1926,-
C,26,Сезон гроз,Анджей Сапковский,3,"4,3",https://www.livelib.ru/book/1003020140,/covers/1003020140.jpg,2013,-
C,27,Женщины,Чарльз Буковски,3,"3,6",https://www.livelib.ru/book/1000468045,/covers/1000468045.jpg,1978,-
C,28,Фактотум,Чарльз Буковски,3,"3,9",https://www.livelib.ru/book/1000613463,/covers/1000613463.jpg,1975,-
C,29,Хлеб с ветчиной,Чарльз Буковски,3,"4,1",https://www.livelib.ru/book/1000504586,/covers/1000504586.jpg,1982,-
D,1,Война миров,"Герберт Уэллс, Герберт Д. Уэллс",4,4,https://www.livelib.ru/book/1002706492,/covers/1002706492.jpg,1898,2021-11
D,2,Луна - суровая госпожа,Роберт Хайнлайн,"3,5","4,2",https://www.livelib.ru/book/1002831956,/covers/1002831956.jpg,1966,2026-04-14
D,3,"Убийство в ""Восточном экспрессе""",Агата Кристи,4,"4,5",https://www.livelib.ru/book/1006221715,/covers/1006221715.jpg,1934,-
D,4,Академия,Айзек Азимов,3,"4,3",https://www.livelib.ru/book/1000328243,/covers/1000328243.jpg,1951,2026-02-07
D,5,Девушка с татуировкой дракона,Стиг Ларссон,4,"4,4",https://www.livelib.ru/book/1003156338,/covers/1003156338.jpg,2005,-
D,6,Таинственная история Билли Миллигана,Дэниел Киз,4,"4,4",https://www.livelib.ru/book/1005658867,/covers/1005658867.jpg,1981,-
D,7,Одиссея. Древнегреческий эпос в пересказе Сергея Носова,Сергей Носов,3,"4,1",https://www.livelib.ru/book/1010702618,/covers/1010702618.jpg,2024,2026-08-01
D,8,Атлант расправил плечи,Айн Рэнд,2,"4,1",https://www.livelib.ru/book/1001492763,/covers/1001492763.jpg,1957,-
D,9,Дом с водяными колесами,Юкито Аяцудзи,3,"3,7",https://www.livelib.ru/book/1013742145,/covers/1013742145.jpg,1988,2025-11-05
D,10,Загадка номера 622,Жоэль Диккер,3,"3,9",https://www.livelib.ru/book/1007684410,/covers/1007684410.jpg,2020,2025-10-09
D,11,Звездная бабочка,Бернар Вербер,3,4,https://www.livelib.ru/book/1002875940,/covers/1002875940.jpg,2006,2025-04-11
D,12,11/22/63,Стивен Кинг,3,"4,5",https://www.livelib.ru/book/1006202158,/covers/1006202158.jpg,2011,2022-04-23
D,13,Убить пересмешника,Харпер Ли,3,"4,6",https://www.livelib.ru/book/1005931411,/covers/1005931411.jpg,1960,-
D,14,Фантомная память,Франк Тилье,2,"4,1",https://www.livelib.ru/book/1003022711,/covers/1003022711.jpg,2007,2025-12-23
D,15,Портрет Дориана Грея,Оскар Уайльд,4,"4,3",https://www.livelib.ru/book/1001305787,/covers/1001305787.jpg,1890,2022-01
D,16,Мертвые души,Николай Гоголь,4,4,https://www.livelib.ru/book/1000406738,/covers/1000406738.jpg,1842,2024-03
D,17,Метель,Владимир Сорокин,4,"3,9",https://www.livelib.ru/book/1002837842,/covers/1002837842.jpg,2010,-
D,18,О дивный новый мир. Слепец в Газе,Олдос Хаксли,3,"4,2",https://www.livelib.ru/book/1006116352,/covers/1006116352.jpg,1932,-
D,19,Расширение пространства борьбы,Мишель Уэльбек,2,"3,7",https://www.livelib.ru/book/1000328969,/covers/1000328969.jpg,1994,2026-04-28
D,20,Солярис,Станислав Лем,"2,5","4,3",https://www.livelib.ru/book/1015962283,/covers/1015962283.jpg,1961,2026-03-05
D,21,Повелитель мух,Уильям Голдинг,3,4,https://www.livelib.ru/book/1002688710,/covers/1002688710.jpg,1954,-
D,22,Мы,Евгений Замятин,3,4,https://www.livelib.ru/book/1000469874,/covers/1000469874.jpg,1924,-
F,1,Человек разрушенный,Альфред Бестер,"1,5","3,9",https://www.livelib.ru/book/1002898047,/covers/1002898047.jpg,1953,2026-01-10
F,2,1984,Джордж Оруэлл,"0,5","4,4",https://www.livelib.ru/book/1017966235,/covers/1017966235.jpg,1949,2016-03-18
F,3,Колыбельная,Чак Паланик,1,"3,9",https://www.livelib.ru/book/1006721248,/covers/1006721248.jpg,2002,-
F,4,Зулейха открывает глаза,Гузель Яхина,1,"4,4",https://www.livelib.ru/book/1003944406,/covers/1003944406.jpg,2015,-
