tier,position,title,author,user_rating,livelib_rating,url,cover,year,read_date
S,1,А зори здесь тихие. ..,Борис Васильев,5,"4,7",https://www.livelib.ru/book/1016983744,/covers/1016983744.jpg,1969,2018-04-12
A,1,Портрет,Николай Гоголь,5,"4,4",https://www.livelib.ru/book/1001217494,/covers/1001217494.jpg,1835,2026-06-11
A,2,Тарас Бульба,Николай Гоголь,5,"3,9",https://www.livelib.ru/book/1000219309,/covers/1000219309.jpg,1835,2024-03
A,3,Судьба человека,Михаил Шолохов,5,"4,6",https://www.livelib.ru/book/1001440002,/covers/1001440002.jpg,1956,-
B,1,Скотный Двор,Джордж Оруэлл,4,"4,5",https://www.livelib.ru/book/1017966118,/covers/1017966118.jpg,1945,2016-05-01
B,2,Записки сумасшедшего,Николай Гоголь,"3,5",4,https://www.livelib.ru/book/1005753169,/covers/1005753169.jpg,1835,2026-06-07
B,3,Шинель,Николай Гоголь,5,"4,2",https://www.livelib.ru/book/1008297883,/covers/1008297883.jpg,1842,2024-04
B,4,Морфий.  Записки юного  врача,Михаил Булгаков,4,"4,6",https://www.livelib.ru/book/1001623396,/covers/1001623396.jpg,1927,2022-04-23
B,5,Капитанская дочка. Повести,Александр Пушкин,4,"4,2",https://www.livelib.ru/book/1005934645,/covers/1005934645.jpg,1836,-
C,1,Старик и море. Рассказы,Эрнест Хемингуэй,4,"4,2",https://www.livelib.ru/book/1000196575,/covers/1000196575.jpg,1952,-
C,2,Великий дух и беглецы,Кир Булычёв,"3,5",4,https://www.livelib.ru/book/1000664661,/covers/1000664661.jpg,1972,2025-12-09
D,1,Вий,Николай Гоголь,3,"4,3",https://www.livelib.ru/book/1001242520,/covers/1001242520.jpg,1835,2024-04
F,1,Нос,Николай Гоголь,1,"3,8",https://www.livelib.ru/book/1006168693,/covers/1006168693.jpg,1836,2026-06-07
F,2,Невский проспект,Николай Гоголь,"1,5","4,1",https://www.livelib.ru/book/1000962694,/covers/1000962694.jpg,1835,2026-06-06
