tier,title,author,user_rating,livelib_rating,url,cover,year,read_date,year_source,favorite
A,Великие русские художники,Владимир Баженов,"4,5","3,9",https://www.livelib.ru/book/1012819894,/covers/1012819894.jpg,2024,2026-05-31,https://ast.ru/book/velikie-russkie-khudozhniki-847564/,false
A,"Вдохновленные. Все, что нужно знать продакт-менеджеру",Марти Каган,5,"4,1",https://www.livelib.ru/book/1003941310,/covers/1003941310.jpg,2017,2024-10-29,https://www.svpg.com/inspired-how-to-create-products-customers-love/,false
A,"Уверенность в себе. Как повысить самооценку, преодолеть страхи и сомнения",Томас Чаморро-Премузик,5,"3,3",https://www.livelib.ru/book/1002827597,/covers/1002827597.jpg,2013,2024-03,https://profilebooks.com/work/confidence/,false
A,Дурная кровь,Джон Каррейру,5,"4,5",https://www.livelib.ru/book/1003567375,/covers/1003567375.jpg,2018,2022-01-05,https://openlibrary.org/search?q=%D0%94%D1%83%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BA%D1%80%D0%BE%D0%B2%D1%8C%20%D0%94%D0%B6%D0%BE%D0%BD%20%D0%9A%D0%B0%D1%80%D1%80%D0%B5%D0%B9%D1%80%D1%83,false
A,"Чистый код. Создание, анализ и рефакторинг",Роберт Мартин,5,"4,4",https://www.livelib.ru/book/1002868901,/covers/1002868901.jpg,2008,2022-01,https://openlibrary.org/search?q=%D0%A7%D0%B8%D1%81%D1%82%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%B4.%20%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5%2C%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B8%20%D1%80%D0%B5%D1%84%D0%B0%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D0%BD%D0%B3%20%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82%20%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD,false
B,"Спроси маму. Как общаться с клиентами и подтвердить правоту своей бизнес-идеи, если все кругом врут?",Роб Фитцпатрик,4,"4,1",https://www.livelib.ru/book/1007665543,/covers/1007665543.jpg,2013,2025-04-11,https://openlibrary.org/search?q=%D0%A1%D0%BF%D1%80%D0%BE%D1%81%D0%B8%20%D0%BC%D0%B0%D0%BC%D1%83.%20%D0%9A%D0%B0%D0%BA%20%D0%BE%D0%B1%D1%89%D0%B0%D1%82%D1%8C%D1%81%D1%8F%20%D1%81%20%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82%D0%B0%D0%BC%D0%B8%20%D0%B8%20%D0%BF%D0%BE%D0%B4%D1%82%D0%B2%D0%B5%D1%80%D0%B4%D0%B8%D1%82%D1%8C%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%82%D1%83%20%D1%81%D0%B2%D0%BE%D0%B5%D0%B9%20%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B8%D0%B4%D0%B5%D0%B8%2C%20%D0%B5%D1%81%D0%BB%D0%B8%20%D0%B2%D1%81%D0%B5%20%D0%BA%D1%80%D1%83%D0%B3%D0%BE%D0%BC%20%D0%B2%D1%80%D1%83%D1%82%3F%20%D0%A0%D0%BE%D0%B1%20%D0%A4%D0%B8%D1%82%D1%86%D0%BF%D0%B0%D1%82%D1%80%D0%B8%D0%BA,false
B,Серьезное творческое мышление,Эдвард де Боно,4,"3,7",https://www.livelib.ru/book/1000110734,/covers/1000110734.jpg,1992,2024-01-06,https://openlibrary.org/search?q=%D0%A1%D0%B5%D1%80%D1%8C%D0%B5%D0%B7%D0%BD%D0%BE%D0%B5%20%D1%82%D0%B2%D0%BE%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4%20%D0%B4%D0%B5%20%D0%91%D0%BE%D0%BD%D0%BE,false
B,"От нуля к единице. Как создать стартап, который изменит будущее","Питер Тиль, Блейк Мастерс",4,4,https://www.livelib.ru/book/1004993671,/covers/1004993671.jpg,2014,2024-01-04,https://openlibrary.org/search?q=%D0%9E%D1%82%20%D0%BD%D1%83%D0%BB%D1%8F%20%D0%BA%20%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%86%D0%B5.%20%D0%9A%D0%B0%D0%BA%20%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D1%82%D1%8C%20%D1%81%D1%82%D0%B0%D1%80%D1%82%D0%B0%D0%BF%2C%20%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B9%20%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B8%D1%82%20%D0%B1%D1%83%D0%B4%D1%83%D1%89%D0%B5%D0%B5%20%D0%9F%D0%B8%D1%82%D0%B5%D1%80%20%D0%A2%D0%B8%D0%BB%D1%8C%2C%20%D0%91%D0%BB%D0%B5%D0%B9%D0%BA%20%D0%9C%D0%B0%D1%81%D1%82%D0%B5%D1%80%D1%81,false
B,Нажми Reset. Как игровая индустрия рушит карьеры и дает второй шанс,Джейсон Шрейер,4,"4,1",https://www.livelib.ru/book/1006728880,/covers/1006728880.jpg,2021,2022-01-08,https://openlibrary.org/search?q=%D0%9D%D0%B0%D0%B6%D0%BC%D0%B8%20Reset.%20%D0%9A%D0%B0%D0%BA%20%D0%B8%D0%B3%D1%80%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%B8%D0%BD%D0%B4%D1%83%D1%81%D1%82%D1%80%D0%B8%D1%8F%20%D1%80%D1%83%D1%88%D0%B8%D1%82%20%D0%BA%D0%B0%D1%80%D1%8C%D0%B5%D1%80%D1%8B%20%D0%B8%20%D0%B4%D0%B0%D0%B5%D1%82%20%D0%B2%D1%82%D0%BE%D1%80%D0%BE%D0%B9%20%D1%88%D0%B0%D0%BD%D1%81%20%D0%94%D0%B6%D0%B5%D0%B9%D1%81%D0%BE%D0%BD%20%D0%A8%D1%80%D0%B5%D0%B9%D0%B5%D1%80,false
B,"Кровь, пот и пиксели. Обратная сторона индустрии видеоигр",Джейсон Шрейер,4,"4,3",https://www.livelib.ru/book/1003024343,/covers/1003024343.jpg,2017,2022-01,https://openlibrary.org/search?q=%D0%9A%D1%80%D0%BE%D0%B2%D1%8C%2C%20%D0%BF%D0%BE%D1%82%20%D0%B8%20%D0%BF%D0%B8%D0%BA%D1%81%D0%B5%D0%BB%D0%B8.%20%D0%9E%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%20%D0%B8%D0%BD%D0%B4%D1%83%D1%81%D1%82%D1%80%D0%B8%D0%B8%20%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE%D0%B8%D0%B3%D1%80%20%D0%94%D0%B6%D0%B5%D0%B9%D1%81%D0%BE%D0%BD%20%D0%A8%D1%80%D0%B5%D0%B9%D0%B5%D1%80,false
